编号,方向,处理结论,支持程度,理由,构题方法,验证方法,下一动作,具体来源
C05,布居与紧凑程度,保留待补,数据与方法支持,能量近似与紧凑程度可以比较，但必须说明布居模型。,取得坐标、能量、简并度和温度；构造可比较的明确问法。,权重归一化与回转半径分别计算；不声称精确自由能分布。,数据取得后审查难度，单纯排序可能仅为基础推断。,https://raw.githubusercontent.com/learningmatter-mit/geom/master/tutorials/01_loading_data.ipynb
C06,保留拓扑的修复,保留待补,验证方法支持,能检查生成结构，但真实异常输入与可接受修复范围尚未落实。,优先真实失败结构；受控扰动需单独标 synthetic 并保存变换。,拓扑、立体化学、碰撞与几何约束；能量另验。,先找异常结构和多个合法答案；不是用单一参考 RMSD 判全部输出。,https://www.nature.com/articles/s41597-022-01390-7 | https://posebusters.readthedocs.io/en/latest/ | https://rdkit.org/docs/RDKit_Book.html
C07,链的展开程度,保留待补,相邻方法支持,替换不贴切的 Materials Project 入口；已找到链分析方法和测试数据指引。,挑选一条有拓扑与边界信息的链，比较帧间端到端距离。,按连接关系展开周期边界，固定端点；检查标签不变性。,轨迹测试示例不等于研究级数据，需核实来源、许可和长度。,https://docs.mdanalysis.org/stable/documentation_pages/analysis/polymer.html
C08,组装几何约束,合并,相邻论文支持,泛化“构件摆放”与 B07 重叠，尚无独立非蛋白超分子任务证据。,先并入 B07；保留未来非蛋白组装的扩展位置。,采用组装对称性与接触约束；不重复计数。,需要独立超分子来源才能重新拆分。,https://www.nature.com/articles/s41586-023-06415-8
M01,配位邻居,优先开展,方法与数据入口支持,邻居和局部配位可形成清楚的几何任务；必须指定规则。,从公开 CIF 选中心位点，明确采用距离或配位识别规则。,周期邻居搜索与配位几何；处理截断附近歧义。,优先选结构简单、无部分占位的 CIF；新增周期邻居验证器。,https://pymatgen.org/pymatgen.analysis.chemenv.coordination_environments.html | https://pymatgen.org/pymatgen.core.html | https://arxiv.org/html/2510.04704v1
M02,跨晶胞距离,优先开展,方法支持,可补上小分子距离题缺少的周期几何，适合先做实例。,选非正交晶格，要求跨边界最短距离和对应像。,可靠最短像计算与扩大枚举交叉核验；不逐轴取整。,选定 CIF 和单位，明确平移等价与容差。,https://pymatgen.org/pymatgen.core.html | https://arxiv.org/html/2510.04704v1
M03,应变与响应,保留待补,物理方法支持,线性弹性有明确条件，原始资料不保证每条记录都有所需张量。,固定应变和弹性张量，问应力响应或小形变能量。,单位、Voigt 顺序和剪切因子；线性范围内计算。,先取得张量及计算设置，再决定是否只是公式代入题。,https://docs.materialsproject.org/methodology/materials-methodology/elasticity
M04,缺陷结构构造,改写,已有 benchmark 支持,remove 和 super_cell 已有直接任务先例，应定位结构编辑基础项。,依据 CIF 构造受限空位／超胞操作，另选新实例避免照搬测试集。,核对原子数、浓度、周期等价和目标结构；性能另评。,明确与 AtomWorld 差异及许可，不能声称这类操作是新任务。,https://arxiv.org/html/2510.04704v1
M05,界面间距,保留待补,构建方法支持,已有界面构造器，但其参数 gap 不等于弛豫后真实层间距。,固定层选择和表面法向，从选定结构计算距离或错配。,层平面拟合、周期规则与空隙处理。,挑选实际结构；程序生成者标为生成数据，不冒充实验。,https://pymatgen.org/pymatgen.analysis.interfaces.html
M06,局部形变与能量,暂缓,相邻数据支持,纳米材料数据有来源，但本轮未找到匹配“结构—能量—控制变量”的直接样本。,先限定一个材料和形变机制，取得配对计算或实验。,几何差异与能量证据分开，禁止用观察相关性替代因果。,本轮不支持原问法，暂缓；不因找到了材料论文就升级支持等级。,https://www.nature.com/articles/sdata201641
M07,孔道通行约束,改写,几何验证方法支持,孔道通行可验证，修改孔道后化学有效性与稳定性尚无方案。,先改为给定探针的孔道可达性判断；设计版另列后续目标。,固定半径模型、探针和可达通道协议，复算连通性。,先做 Perception 几何分析版，保留原 Design 标签为待改建议。,https://www.zeoplusplus.org/examples.html
M08,颗粒与团簇,保留待补,相关原始数据支持,找到材料 STEM 数据；撤销 EMDB 作为材料任务来源的关联。,选择已重建且可标定的体数据，确定分割规则再问颗粒间距。,像素／体素标定、分割与三维距离，不从二维图直接猜。,需重建／分割结果和不确定性；实际尺度不能沿用 100–1000 nm 占位。,https://www.nature.com/articles/sdata201641
B01,局部原子接触,合并,数据入口支持,单一配体原子距离与 C01 重复，生物来源不足以构成新能力。,并入 C01 的生物情境；若研究口袋接触则单独定义 B03。,复用距离计算和结构索引。,保留编号历史，不计独立题型。,https://www.rcsb.org/ | https://www.nature.com/articles/s41524-025-01878-x
B02,主链二面角,优先开展,验证方法与数据入口支持,主链二面角有标准结构输入与验证背景，适合快速形成新实例。,选择完整残基及相邻残基，固定 chain/residue/altloc/model。,复算 phi/psi、周期区间和缺失原子；分组依据需明确。,优先选结构并增二面角验证器；异常不能自动当结构错误。,https://www.wwpdb.org/validation/2017/EMValidationReportHelp | https://www.rcsb.org/
B03,相互作用几何,改写,规则方法支持,按给定几何阈值识别候选氢键更接近规则感知，不足以单列高阶推断。,改成规则判定并显式给出供受体、质子化及阈值。,类型与距离角度联合检查；不推出氢键能或亲和力。,建议改为 Perception 子类；若保留 Inference 需加入独立物理证据。,https://github.com/pharmai/plip/blob/master/DOCUMENTATION.md
B04,局部配体调整,保留待补,输出验证方法支持,姿态约束修复有可借鉴检查，但没有现成唯一答案。,固定口袋与配体允许自由度，给出明确可行约束。,配体立体化学、碰撞、接触约束；结合活性单独验证。,先做可接受／不可接受输出测试集；评分器尚未接入 Builder。,https://posebusters.readthedocs.io/en/latest/ | https://github.com/pharmai/plip/blob/master/DOCUMENTATION.md
B05,结构域开合,优先开展,方法与数据入口支持,配对结构对齐支持结构域运动分析；须防止整体对齐掩盖局部运动。,指定固定结构域、移动结构域与残基对应。,先锚定固定域，再计算移动域旋转角和位移。,选择一对同蛋白构象及结构域定义；不把算法找的对应直接当已审核答案。,https://www2.rcsb.org/docs/tools/pairwise-structure-alignment | https://www.rcsb.org/
B06,界面变化,暂缓,相邻方法支持,目前只有几何比较方法，缺少直接支撑“机制”的配对实验论文。,先选具体机制和实验条件再构题；只比较接触时另归感知。,接触变化程序计算，机制结论需原文证据与领域审核。,本轮暂缓机制推断版；不把通用工具当机制来源。,https://www2.rcsb.org/docs/tools/pairwise-structure-alignment | https://github.com/pharmai/plip/blob/master/DOCUMENTATION.md
B07,亚基排列,保留待补,相关研究任务支持,已有对称蛋白设计研究，但固定亚基摆放与骨架生成需区分。,先限定固定构件、目标对称群和接触约束，选择真实模板。,旋转对称、碰撞、接触与合法组成分别评分。,落实输出评分协议和有效实例，功能成功不能仅由几何判断。,https://www.nature.com/articles/s41586-023-06415-8
B08,密度图与结构匹配,保留待补,验证方法支持,图模型匹配有成熟指标，但不同地图／分辨率不能随意混比。,固定一张地图和标定，用两个匹配模型做比较。,锁定对齐、掩膜和同一种图模型指标。,取得配套 map/model；地图分辨率与输入对象大小分开记录。,https://www.emdataresource.org/news/wwpdb_map_model_val.html
B09,壳层构件布局,合并,相邻研究任务支持,仅按较大尺寸拆出壳层放置，尚未形成与 B07 不同的任务定义。,并入 B07，以组装大小作实例属性而非新任务。,同组装约束评分；实际尺寸按实例测量。,若后来引入特定壳层物理约束，再考虑独立任务。,https://www.nature.com/articles/s41586-023-06415-8
